Timestamp,X,Y,Z
23.292,-1.4460979,2.5570073,4.8745947
23.312,-1.5131354,2.5091233,5.506664
23.333,-1.4269443,2.4899697,6.1770406
23.354,-1.0151415,2.719813,7.6614456
23.374,-0.94810385,2.6240451,8.925584
23.395,-1.2545617,2.7102363,10.055647
23.415,-1.1492168,2.4516625,11.645397
23.436,-1.4173675,2.327164,13.608643
23.456,-1.685518,2.1164744,14.585477
23.477,-2.384625,2.777274,13.350069
23.498,-2.585738,3.6583402,12.248735
23.518,-0.61291564,3.6391866,10.630256
23.539,-0.6895301,2.327164,12.028469
23.56,-1.6376339,1.7717092,13.8480625
23.58,-2.4229321,1.7429788,12.919112
23.601,-2.2697031,1.8579005,11.587936
23.623,-1.1300632,2.2218192,7.5082164
23.644,-0.7565677,1.6280571,8.034941
23.664,-0.8523358,1.283292,8.580819
23.685,-1.1204864,0.90021986,9.050082
23.705,-1.1300632,0.9959879,8.532935
23.726,-0.8714894,1.1779473,7.785944
23.746,-0.8714894,1.5131354,6.5505357
23.766,-1.283292,1.6472107,6.3302693
23.787,-1.6089035,1.8100165,6.0621185
23.807,-1.6663644,2.0015526,5.7365074
23.828,-1.5610195,2.087744,5.9280434
23.848,-1.541866,2.0973208,6.493075
23.868,-1.1971009,1.982399,7.8146744
23.889,-1.388637,1.8962077,9.3182335
23.909,-1.4556746,1.7812861,10.314221
23.929,-1.5035586,1.8674773,10.390836
23.95,-1.2066777,1.5801731,11.233594
23.97,-0.9959879,1.2449849,12.401965
23.991,-1.6759412,1.5993267,12.938266
24.011,-1.8866309,2.1547816,11.654974
24.032,-0.40222588,1.982399,10.28549
24.052,0.4309563,1.3311762,11.310209
24.072,-0.6991069,0.78529817,13.369223
24.093,-1.934515,0.78529817,14.068329
24.113,-1.5514427,1.1300632,11.923124
24.134,-0.5650316,1.3215994,9.883265
24.154,-0.10534488,1.283292,8.418014
24.174,-0.19153613,1.0342951,9.203311
24.195,-0.25857377,1.0055647,9.844957
24.215,-0.19153613,1.13964,9.241618
24.236,-0.17238252,1.3215994,8.561666
24.256,-0.34476504,1.5705963,7.824251
24.277,-0.6895301,1.9632454,6.042965
24.297,-0.90979666,2.336741,4.960786
24.317,-0.59376204,2.5761611,4.912902
24.338,-0.45968673,2.7389667,5.9184666
24.358,-0.60333884,2.815581,7.2304893
24.379,-0.80445176,2.719813,8.0445175
24.399,-0.93852705,2.7868507,9.739613
24.42,-1.0055647,2.7581203,10.371682
24.44,-1.484405,2.767697,10.879252
